"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-22","6.04",,"59","60","57",,"   70","   80","15.0","19.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-23","3.36",,"58","67","53",,"  280","  280","13.0","17.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-24","2.68",,"59","63","54",,"  190","  160","8.9","14.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-25","3.58",,"60","66","53",,"  290","  200","14.1","17.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-26","3.36",,"59","75","50",,"  290","  290","14.1","16.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-27","3.58",,"64","83","53",,"  280","  280","13.0","16.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-28","3.13",,"65","77","55",,"  220","  220","10.1","14.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-29","3.13",,"65","83","51",,"  290","  300","16.1","19.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-30","2.24",,"63","74","50",,"  290","  180","8.1","12.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-01-31","4.92",,"60","64","53",,"  160","  160","12.1","18.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-01","6.26",,"57","61","52",,"   70","   90","18.1","27.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-02","6.93",,"57","63","49",,"  280","  280","21.0","29.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-03","3.80",,"57","62","47",,"   70","   80","14.1","19.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-04","11.63",,"57","61","53",,"  140","  140","23.0","38.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-05","7.16",,"58","61","54",,"  160","  150","21.0","38.9"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-06","4.92",,"55","56","49",,"   10","   10","14.1","18.1"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-07","6.93",,"51","61","44",,"  290","  290","18.1","30.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-08","8.05",,"55","61","47",,"  290","  280","18.1","28.0"
"USW00023129","LONG BEACH DAUGHERTY AIRPORT, CA US","2024-02-09","4.25",,"55","61","48",,"  200","  190","12.1","16.1"
